source_table,temperature_k,pressure_gpa,log10_fugacity
Table S4,1100.0,25.0,-7.22786435035965
Table S4,1100.0,26.0,-6.77512071582217
Table S4,1100.0,27.0,-6.32467860927592
Table S4,1100.0,28.0,-5.87649378485208
Table S4,1100.0,29.0,-5.43052354089656
Table S4,1100.0,30.0,-4.98672664256691
Table S4,1100.0,31.0,-4.54506324939766
Table S4,1100.0,32.0,-4.10549484745389
Table S4,1100.0,33.0,-3.66798418572611
Table S4,1100.0,34.0,-3.23249521644863
Table S4,1100.0,35.0,-2.79899303905123
Table S4,1100.0,36.0,-2.36744384747772
Table S4,1100.0,37.0,-1.93781488062798
Table S4,1100.0,38.0,-1.51007437569985
Table S4,1100.0,39.0,-1.08419152422571
Table S4,1100.0,40.0,-0.66013643061547
Table S4,1100.0,41.0,-0.237880073032759
Table S4,1100.0,42.0,0.182605733555046
Table S4,1100.0,43.0,0.601348372299579
Table S4,1100.0,44.0,1.01837445750237
Table S4,1100.0,45.0,1.43370986587846
Table S4,1100.0,46.0,1.84737976616795
Table S4,1100.0,47.0,2.25940864720188
Table S4,1100.0,48.0,2.6698203445209
Table S4,1100.0,49.0,3.07863806563772
Table S4,1100.0,50.0,3.48588441402785
Table S4,1100.0,51.0,3.89158141192667
Table S4,1100.0,52.0,4.29575052200574
Table S4,1100.0,53.0,4.69841266799541
Table S4,1100.0,54.0,5.09958825431676
Table S4,1100.0,55.0,5.49929718478086
Table S4,1100.0,56.0,5.89755888040979
Table S4,1100.0,57.0,6.29439229642996
Table S4,1100.0,58.0,6.68981593848475
Table S4,1100.0,59.0,7.08384787811066
Table S4,1100.0,60.0,7.47650576751771
Table S4,1100.0,61.0,7.8678068537128
Table S4,1100.0,62.0,8.25776799200173
Table S4,1100.0,63.0,8.64640565890333
Table S4,1100.0,64.0,9.03373596450739
Table S4,1100.0,65.0,9.41977466430568
Table S4,1100.0,66.0,9.80453717052363
Table S4,1100.0,67.0,10.1880385629786
Table S4,1100.0,68.0,10.5702935994894
Table S4,1100.0,69.0,10.9513167258589
Table S4,1100.0,70.0,11.3311220854527
Table S4,1100.0,71.0,11.7097235283925
Table S4,1100.0,72.0,12.0871346203846
Table S4,1100.0,73.0,12.4633686512
Table S4,1100.0,74.0,12.8384386428242
Table S4,1100.0,75.0,13.2123573572917
Table S4,1100.0,76.0,13.5851373042209
Table S4,1100.0,77.0,13.956790748063
Table S4,1100.0,78.0,14.3273297150783
Table S4,1100.0,79.0,14.6967660000529
Table S4,1100.0,80.0,15.0651111727674
Table S4,1100.0,81.0,15.4323765842289
Table S4,1100.0,82.0,15.7985733726769
Table S4,1100.0,83.0,16.163712469374
Table S4,1100.0,84.0,16.527804604189
Table S4,1100.0,85.0,16.8908603109841
Table S4,1100.0,86.0,17.2528899328126
Table S4,1100.0,87.0,17.6139036269365
Table S4,1100.0,88.0,17.973911369671
Table S4,1100.0,89.0,18.3329229610636
Table S4,1100.0,90.0,18.6909480294152
Table S4,1100.0,91.0,19.0479960356485
Table S4,1100.0,92.0,19.4040762775316
Table S4,1100.0,93.0,19.7591978937618
Table S4,1100.0,94.0,20.113369867915
Table S4,1100.0,95.0,20.4666010322673
Table S4,1100.0,96.0,20.8189000714933
Table S4,1100.0,97.0,21.1702755262451
Table S4,1100.0,98.0,21.5207357966187
Table S4,1100.0,99.0,21.8702891455104
Table S4,1100.0,100.0,22.2189437018684
Table S4,1200.0,0.0,-16.9120668082506
Table S4,1200.0,1.0,-16.4553625587326
Table S4,1200.0,2.0,-16.0009023645337
Table S4,1200.0,3.0,-15.5487348408191
Table S4,1200.0,4.0,-15.0988887463668
Table S4,1200.0,5.0,-14.6513778488229
Table S4,1200.0,6.0,-14.2062045328585
Table S4,1200.0,7.0,-13.7633625089244
Table S4,1200.0,8.0,-13.3228388687737
Table S4,1200.0,9.0,-12.8846156600214
Table S4,1200.0,10.0,-12.4486711021707
Table S4,1200.0,11.0,-12.0149805323594
Table S4,1200.0,12.0,-11.5835171452869
Table S4,1200.0,13.0,-11.1542525749693
Table S4,1200.0,14.0,-10.727157353935
Table S4,1200.0,15.0,-10.3022012767497
Table S4,1200.0,16.0,-9.87935368836102
Table S4,1200.0,17.0,-9.45858371301084
Table S4,1200.0,18.0,-9.03986043591679
Table S4,1200.0,19.0,-8.62315304723916
Table S4,1200.0,20.0,-8.20843095580979
Table S4,1200.0,21.0,-7.78869837557037
Table S4,1200.0,22.0,-7.36413455187843
Table S4,1200.0,23.0,-6.94187503107944
Table S4,1200.0,24.0,-6.52187221215404
Table S4,1200.0,25.0,-6.10408027012285
Table S4,1200.0,26.0,-5.68845506196523
Table S4,1200.0,27.0,-5.27495403879271
Table S4,1200.0,28.0,-4.86353616379987
Table S4,1200.0,29.0,-4.45416183555309
