volume_ratio,experimental_fit_volume_a3,theoretical_fit_volume_a3,temperature_k,experimental_fit_pressure_gpa,theoretical_fit_pressure_gpa
0.57,93.6282,93.61,1000,388.939460855017,406.2
0.57,93.6282,93.61,1500,393.163735737083,410.3
0.57,93.6282,93.61,2000,397.581835534052,414.6
0.57,93.6282,93.61,2500,402.081455324272,419
0.57,93.6282,93.61,3000,406.622694127361,423.5
0.57,93.6282,93.61,3500,411.187967722879,428
0.57,93.6282,93.61,4000,415.768353527001,432.6
0.57,93.6282,93.61,4500,420.358851325433,437.1
0.57,93.6282,93.61,5000,424.956444433544,441.7
0.56,91.9856,91.96,300,409.970086476095,430.3
0.56,91.9856,91.96,1000,414.423876726172,434.2
0.56,91.9856,91.96,1500,418.68673263031,438.3
0.56,91.9856,91.96,2000,423.152434981994,442.7
0.56,91.9856,91.96,2500,427.703607038376,447.1
0.56,91.9856,91.96,3000,432.298449312398,451.7
0.56,91.9856,91.96,3500,436.918521550822,456.2
0.56,91.9856,91.96,4000,441.554461430846,460.8
0.56,91.9856,91.96,4500,446.201020476338,465.4
0.56,91.9856,91.96,5000,450.855031500387,470
0.55,90.343,90.32,300,437.156558310015,460.4
0.55,90.343,90.32,1000,441.613607844966,464.3
0.55,90.343,90.32,1500,445.916633882177,468.4
0.55,90.343,90.32,2000,450.432103351282,472.8
0.55,90.343,90.32,2500,455.037256900243,477.3
0.55,90.343,90.32,3000,459.688272206186,481.9
0.55,90.343,90.32,3500,464.365795310637,486.5
0.55,90.343,90.32,4000,469.059994074775,491.1
0.55,90.343,90.32,4500,473.765354624921,495.8
0.55,90.343,90.32,5000,478.47854882202,500.4
0.54,88.7004,88.68,300,466.186136270901,492.7
0.54,88.7004,88.68,1000,470.64633076332,496.6
0.54,88.7004,88.68,1500,474.99115674701,500.7
0.54,88.7004,88.68,2000,479.558645195153,505.2
0.54,88.7004,88.68,2500,484.220319508848,509.7
0.54,88.7004,88.68,3000,488.930199815014,514.3
0.54,88.7004,88.68,3500,493.667955791045,519
0.54,88.7004,88.68,4000,498.423252757167,523.7
0.54,88.7004,88.68,4500,503.19029278149,528.4
0.54,88.7004,88.68,5000,507.965575386436,533.1
0.53,87.0578,87.04,300,497.210351298124,527.5
0.53,87.0578,87.04,1000,501.67350709442,531.3
0.53,87.0578,87.04,1500,506.06180358773,535.5
0.53,87.0578,87.04,2000,510.683654727397,539.9
0.53,87.0578,87.04,2500,515.404506044873,544.5
0.53,87.0578,87.04,3000,520.176073974272,549.2
0.53,87.0578,87.04,3500,524.976983660631,553.9
0.53,87.0578,87.04,4000,529.796362226584,558.7
0.53,87.0578,87.04,4500,534.628107330831,563.4
0.53,87.0578,87.04,5000,539.468533731838,568.2
0.52,85.4152,85.4,300,530.396194598491,564.9
0.52,85.4152,85.4,1000,534.862052507823,568.7
0.52,85.4152,85.4,1500,539.295530596893,572.9
0.52,85.4152,85.4,2000,543.97418477181,577.4
0.52,85.4152,85.4,2500,548.756993738967,582
0.52,85.4152,85.4,3000,553.59321150393,586.7
0.52,85.4152,85.4,3500,558.460344414407,591.5
0.52,85.4152,85.4,4000,563.346942487288,596.3
0.52,85.4152,85.4,4500,568.246576743223,601.1
0.52,85.4152,85.4,5000,573.155363596351,605.9
0.51,83.7726,83.75,300,565.928025715277,605.1
0.51,83.7726,83.75,1000,570.396244611277,609
0.51,83.7726,83.75,1500,574.876655342936,613.2
0.51,83.7726,83.75,2000,579.614654538079,617.7
0.51,83.7726,83.75,2500,584.462334208611,622.4
0.51,83.7726,83.75,3000,589.366313299596,627.2
0.51,83.7726,83.75,3500,594.30289833851,632
0.51,83.7726,83.75,4000,599.26001971577,636.8
0.51,83.7726,83.75,4500,604.230897496477,641.7
0.51,83.7726,83.75,5000,609.211434883916,646.6
0.5,82.13,82.11,300,604.009759023749,648.6
0.5,82.13,82.11,1000,608.479909438975,652.4
0.5,82.13,82.11,1500,613.009042849456,656.6
0.5,82.13,82.11,2000,617.809035928482,661.2
0.5,82.13,82.11,2500,622.724640371075,666
0.5,82.13,82.11,3000,627.699652073869,670.8
0.5,82.13,82.11,3500,632.709089217709,675.7
0.5,82.13,82.11,4000,637.740216024706,680.6
0.5,82.13,82.11,4500,642.785874958408,685.5
0.5,82.13,82.11,5000,647.841739709606,690.4
0.49,80.4874,80.47,300,644.867375833752,695.5
0.49,80.4874,80.47,1000,649.338933835762,699.3
0.49,80.4874,80.47,1500,653.918617482821,703.6
0.49,80.4874,80.47,2000,658.783365646165,708.2
0.49,80.4874,80.47,2500,663.770099206342,713
0.49,80.4874,80.47,3000,668.819586029931,717.9
0.49,80.4874,80.47,3500,673.905459078886,722.8
0.49,80.4874,80.47,4000,679.014265380911,727.8
0.49,80.4874,80.47,4500,684.138440551205,732.8
0.49,80.4874,80.47,5000,689.273410861875,737.8
0.48,78.8448,78.83,300,688.751818434331,746.3
0.48,78.8448,78.83,1000,693.224160233402,750
0.48,78.8448,78.83,1500,697.856257127263,754.3
0.48,78.8448,78.83,2000,702.788639578124,759
0.48,78.8448,78.83,2500,707.849866846191,763.9
0.48,78.8448,78.83,3000,712.977454952519,768.8
0.48,78.8448,78.83,3500,718.143545468442,773.8
0.48,78.8448,78.83,4000,723.333912190598,778.8
0.48,78.8448,78.83,4500,728.540551728189,783.9
0.48,78.8448,78.83,5000,733.758623230663,789
0.47,77.2022,77.18,300,735.94233358091,801.2
0.47,77.2022,77.18,1000,740.414731557024,804.9
0.47,77.2022,77.18,1500,745.101137365288,809.3
0.47,77.2022,77.18,2000,750.104157162931,814
0.47,77.2022,77.18,2500,755.243413702352,818.9
0.47,77.2022,77.18,3000,760.452926439091,823.9
0.47,77.2022,77.18,3500,765.703229000941,829
0.47,77.2022,77.18,4000,770.979260306887,834.1
0.47,77.2022,77.18,4500,776.272542537701,839.2
0.47,77.2022,77.18,5000,781.577945997515,844.4
0.46,75.5596,75.54,300,786.750346597845,860.8
0.46,75.5596,75.54,1000,791.221967784451,864.5
0.46,75.5596,75.54,1500,795.964607161819,868.9
0.46,75.5596,75.54,2000,801.041397231437,873.7
0.46,75.5596,75.54,2500,806.262401124507,878.7
