source_table,source_row,source_reference_as_published,data_class,dynamic_path,pressure_gpa_raw,pressure_uncertainty_gpa_raw,pressure_calibrant,pressure_gpa_fit,pressure_uncertainty_gpa_fit,pressure_scale,pressure_correction_applied,molar_volume_cm3_mol,molar_volume_uncertainty_cm3_mol,volume_a3_conventional_cell,volume_uncertainty_a3_conventional_cell,temperature_k,temperature_uncertainty_k,temperature_provenance,fit1_observed_minus_model_gpa,fit2_observed_minus_model_gpa,fit5_observed_minus_model_gpa,source_cell_note,used_in_fit
Table S1,64,Huang et al. (1987),static_experiment,,20.7,0.01,Au,21.74262984,0.099736834,Fei et al. (2007),1,6.12500084,0.00525546,20.341606362585257,0.01745379329193893,298.0,0.0,experimental_reported,0.0708993742209074,0.146020029780907,2.14557682018784,,1
Table S1,65,Huang et al. (1987),static_experiment,,21.2,0.01,Au,22.04582454,0.099754862,Fei et al. (2007),1,6.11700026,0.00529459,20.315035811285156,0.017583747079335955,298.0,0.0,experimental_reported,0.0157795445407096,0.0908703368064074,2.11209341167099,,1
Table S1,66,Huang et al. (1987),static_experiment,,21.2,0.01,Au,22.06316354,0.104071526,Fei et al. (2007),1,6.15600083,0.00530061,20.444559751539252,0.017603739969704726,423.0,0.0,experimental_reported,1.15090802977764,1.22232830290942,2.86551118985976,,1
Table S1,67,Huang et al. (1987),static_experiment,,21.4,0.01,Au,22.06316354,0.104071526,Fei et al. (2007),1,6.13599938,0.00531265,20.378133373289003,0.017643725750442273,423.0,0.0,experimental_reported,0.281083169570774,0.352429211032238,2.0541154373709,,1
Table S1,68,Huang et al. (1987),static_experiment,,21.4,0.01,Au,22.26518899,0.104042939,Fei et al. (2007),1,6.1279988,0.00530362,20.351562821988903,0.017613736414889114,423.0,0.0,experimental_reported,0.13086091673685,0.202177806725828,1.92704518944324,,1
Table S1,69,Huang et al. (1987),static_experiment,,21.7,0.01,Au,22.4474477,0.099766434,Fei et al. (2007),1,6.10700104,0.0052976,20.281827620382625,0.017593743524520342,298.0,0.0,experimental_reported,-0.0339718990915081,0.0410818661946166,2.08919814647182,,1
Table S1,70,Huang et al. (1987),static_experiment,,21.7,0.01,Au,22.56759159,0.103998118,Fei et al. (2007),1,6.11200065,0.00527051,20.29843171583389,0.01750377551786086,423.0,0.0,experimental_reported,-0.278601423253843,-0.207341863981203,1.56349268424244,,1
Table S1,71,Huang et al. (1987),static_experiment,,21.8,0.01,Au,22.56759159,0.103998118,Fei et al. (2007),1,6.12000123,0.00532469,20.32500226713399,0.01768371153117982,423.0,0.0,experimental_reported,0.0786545494043942,0.149942617155187,1.89785421394309,,1
Table S1,72,Huang et al. (1987),static_experiment,,22.1,0.01,Au,22.89367706,0.115624632,Fei et al. (2007),1,6.27900147,0.00540596,20.853054487554022,0.017953615551158254,723.0,0.0,experimental_reported,4.69596361744616,4.76078853745125,5.31835473389542,,1
Table S1,73,Huang et al. (1987),static_experiment,,22.5,0.01,Au,22.89367706,0.115624632,Fei et al. (2007),1,6.25300109,0.00545713,20.76670519405129,0.01812355511929283,723.0,0.0,experimental_reported,3.6923749783842,3.75702256365225,4.40316954094711,,1
Table S1,74,Huang et al. (1987),static_experiment,,23.5,0.01,Au,23.45470519,0.099807256,Fei et al. (2007),1,6.10599871,0.00529158,20.278498804136223,0.017573750634151567,298.0,0.0,experimental_reported,0.927820710212796,1.00287078245957,3.05367137934104,,1
Table S1,75,Huang et al. (1987),static_experiment,,23.5,0.01,Au,23.45470519,0.099807256,Fei et al. (2007),1,6.09999978,0.00532168,20.25857588888374,0.017673715085995433,298.0,0.0,experimental_reported,0.654876592435546,0.729904634054051,2.79672672056057,,1
Table S1,76,Huang et al. (1987),static_experiment,,23.9,0.01,Au,23.85718203,0.099820845,Fei et al. (2007),1,6.10599871,0.00529459,20.278498804136223,0.017583747079335955,298.0,0.0,experimental_reported,1.3302975502128,1.40534762245958,3.45614821934105,,1
Table S1,77,Mao et al. (1990),static_experiment,,34.8,1.0,Pt,34.73550294,0.998146636,Fei et al. (2007),1,5.81199997,0.0179998,19.302106017196447,0.05977874220263161,300.0,0.0,experimental_reported,-3.03048676392532,-2.95636687424739,-0.22636761182924,,1
Table S1,78,Mao et al. (1990),static_experiment,,35.6,1.1,Pt,35.51364663,1.097331778,Fei et al. (2007),1,5.81100065,0.01300019,19.298787197395235,0.04317464675136554,300.0,0.0,experimental_reported,-2.31120587402371,-2.23708802303555,0.494822867321886,,1
Table S1,79,Mao et al. (1990),static_experiment,,56.1,1.7,Pt,55.29478922,1.675599673,Fei et al. (2007),1,5.47400105,0.01899912,18.179585194551315,0.06309756200384796,300.0,0.0,experimental_reported,-5.74696504712757,-5.67293455149311,-2.50338192182559,,1
Table S1,80,Mao et al. (1990),static_experiment,,80.0,2.4,Pt,78.01781832,2.34053455,Fei et al. (2007),1,5.27600024,0.02200009,17.522009033877183,0.07306401785268135,300.0,0.0,experimental_reported,-0.422359634345611,-0.347550994343535,2.84289628180059,,1
Table S1,81,Mao et al. (1990),static_experiment,,101.6,3.0,Pt,98.34666276,2.903936892,Fei et al. (2007),1,5.08000108,0.00999922,16.871080509250667,0.033208190902532145,300.0,0.0,experimental_reported,-0.829187243232994,-0.752635349308946,2.23895010713079,,1
Table S1,82,Mao et al. (1990),static_experiment,,112.4,3.3,Pt,108.4579625,3.184264024,Fei et al. (2007),1,4.93000074,0.00999922,16.372917659931947,0.033208190902532145,300.0,0.0,experimental_reported,-9.45084595925179,-9.37204181203548,-6.70510835137618,,1
Table S1,83,Mao et al. (1990),static_experiment,,125.4,3.8,Pt,120.5923901,3.654314853,Fei et al. (2007),1,4.90300104,0.01399951,16.283249546628003,0.04649346655258187,300.0,0.0,experimental_reported,-0.989777253456552,-0.910462068393102,1.6806099025053,,1
Table S1,84,Mao et al. (1990),static_experiment,,132.1,4.0,Pt,126.8327373,3.840506806,Fei et al. (2007),1,4.80899874,0.01399951,15.971060563519607,0.04649346655258187,300.0,0.0,experimental_reported,-8.33180544230977,-8.25041527656957,-5.96743174321061,,1
Table S1,85,Mao et al. (1990),static_experiment,,141.2,4.2,Pt,135.2972423,4.024422222,Fei et al. (2007),1,4.71400013,0.01700048,15.655562757055183,0.05645992240141527,300.0,0.0,experimental_reported,-14.9528568654893,-14.8688377245533,-12.969413938086,,1
Table S1,86,Mao et al. (1990),static_experiment,,142.2,4.3,Pt,136.2293696,4.11945351,Fei et al. (2007),1,4.70099994,0.01700048,15.612388110303819,0.05645992240141527,300.0,0.0,experimental_reported,-16.1998654719669,-16.1154397087327,-14.2743334200676,,1
Table S1,87,Mao et al. (1990),static_experiment,,156.7,4.7,Pt,149.6928424,4.48982999,Fei et al. (2007),1,4.66900063,0.01099854,15.506115901548606,0.036527010703748475,300.0,0.0,experimental_reported,-8.22438734761829,-8.1389085185107,-6.44743546093542,,1
Table S1,88,Mao et al. (1990),static_experiment,,170.8,5.1,Pt,162.76186,4.859985282,Fei et al. (2007),1,4.61299958,0.01899912,15.320132038893094,0.06309756200384796,300.0,0.0,experimental_reported,-5.20178879242917,-5.11427732813772,-3.70572539206873,,1
Table S1,89,Mao et al. (1990),static_experiment,,197.3,5.9,Pt,187.2755424,5.600231627,Fei et al. (2007),1,4.47500011,0.01099854,14.861825016524522,0.036527010703748475,300.0,0.0,experimental_reported,-8.0720642391129,-7.97836339280659,-7.38300364419698,,1
Table S1,90,Mao et al. (1990),static_experiment,,208.7,6.3,Pt,197.8114265,5.971308035,Fei et al. (2007),1,4.46799885,0.01200087,14.838573285025639,0.039855826950149206,300.0,0.0,experimental_reported,0.966642774715694,1.06070800011074,1.61039637672906,,1
Table S1,91,Mao et al. (1990),static_experiment,,210.1,6.3,Pt,199.1077508,5.970389481,Fei et al. (2007),1,4.45799963,0.03699892,14.805365094123106,0.12287630420647955,300.0,0.0,experimental_reported,0.105483668039227,0.200078527794318,0.683803059032385,,1
Table S1,92,Mao et al. (1990),static_experiment,,212.1,6.4,Pt,200.9590962,6.063829399,Fei et al. (2007),1,4.41700042,0.01200087,14.669203514266577,0.039855826950149206,300.0,0.0,experimental_reported,-7.13131268679547,-7.03442872761261,-6.83017965165393,,1
Table S1,93,Mao et al. (1990),static_experiment,,227.2,6.8,Pt,214.9031313,6.431959917,Fei et al. (2007),1,4.38500111,0.00599893,14.562931305511364,0.01992291525248241,300.0,0.0,experimental_reported,-0.560059778762707,-0.461251352251594,-0.485099724999628,,1
Table S1,94,Mao et al. (1990),static_experiment,,235.7,7.1,Pt,222.7459429,6.709784448,Fei et al. (2007),1,4.32599909,0.00999922,14.366980987007018,0.033208190902532145,300.0,0.0,experimental_reported,-6.9901603083913,-6.88746076728469,-7.35431884544053,,1
Table S1,95,Mao et al. (1990),static_experiment,,244.8,7.3,Pt,231.1556099,6.893120719,Fei et al. (2007),1,4.32099948,0.01300019,14.350376891555754,0.04317464675136554,300.0,0.0,experimental_reported,0.168000124985866,0.271050995826869,-0.234654948887737,,1
Table S1,96,Mao et al. (1990),static_experiment,,247.3,7.4,Pt,233.4566262,6.985762368,Fei et al. (2007),1,4.31000094,0.00599893,14.313849880852006,0.01992291525248241,300.0,0.0,experimental_reported,-0.308012266017528,-0.204176092227158,-0.796047902596399,,1
Table S1,97,Mao et al. (1990),static_experiment,,256.2,7.7,Pt,241.6753327,7.263466284,Fei et al. (2007),1,4.28900017,0.0089999,14.244104682800538,0.029889371101315804,300.0,0.0,experimental_reported,2.51562896375486,2.621013094353,1.86195343545353,,1
Table S1,98,Mao et al. (1990),static_experiment,,258.2,7.7,Pt,243.5214009,7.262257114,Fei et al. (2007),1,4.28699852,0.01099854,14.237457046752922,0.036527010703748475,300.0,0.0,experimental_reported,3.84104332936252,3.94657839037086,3.17140330850103,,1
