material_identifier,material_name,formula,represented_phase_or_polymorph,phase_identity_source,symmetry,space_group,formula_units_per_cell,equation_kinds,eos_record_count,input_file
cairo3_post_perovskite,CaIrO3 post-perovskite,CaIrO3,"post-perovskite-type, orthorhombic Cmcm",top-level phase field,ORTHORHOMBIC,Cmcm,4,isothermal,1,peritheos/data/materials/cairo3_post_perovskite.eosmat
calcite,Calcite,CaCO3,Calcite,material name plus crystal structure,TRIGONAL,R-3c,6,isothermal,1,peritheos/data/materials/calcite.eosmat
calcium_carbonate_post_aragonite,Calcium carbonate (post-aragonite Pmmn),CaCO3,Calcium carbonate (post-aragonite Pmmn),material name plus crystal structure,ORTHORHOMBIC,Pmmn,2,isothermal;thermal,2,peritheos/data/materials/calcium_carbonate_post_aragonite.eosmat
calcium_germanate_perovskite,Calcium germanate perovskite,CaGeO3,orthorhombic GdFeO3-type perovskite,top-level phase field,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/calcium_germanate_perovskite.eosmat
calcium_titanate_perovskite,Calcium titanate perovskite,CaTiO3,orthorhombic GdFeO3-type perovskite,top-level phase field,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/calcium_titanate_perovskite.eosmat
cao,CaO,CaO,CaO,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/cao.eosmat
cao_b2,CaO-b2,CaO,CaO-b2,material name plus crystal structure,CUBIC,Pm-3m,1,isothermal,1,peritheos/data/materials/cao_b2.eosmat
cementite,Cementite,Fe3C,Cementite,material name plus crystal structure,ORTHORHOMBIC,Pnma,4,isothermal,1,peritheos/data/materials/cementite.eosmat
cerium_dioxide,Cerium dioxide (fluorite),CeO2,Cerium dioxide (fluorite),material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/cerium_dioxide.eosmat
chromium,Chromium,Cr,Chromium,material name plus crystal structure,CUBIC,Im-3m,2,isothermal,1,peritheos/data/materials/chromium.eosmat
cobalt_hcp,Cobalt,Co,Cobalt,material name plus crystal structure,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/cobalt_hcp.eosmat
coesite,Coesite,SiO2,Coesite,material name plus crystal structure,MONOCLINIC,C2/c,16,isothermal,1,peritheos/data/materials/coesite.eosmat
coo,CoO,CoO,CoO,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/coo.eosmat
copper,Copper,Cu,Copper,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal;thermal,2,peritheos/data/materials/copper.eosmat
cscl,CsCl,CsCl,"B2 (CsCl-type), cubic Pm-3m",top-level phase field,CUBIC,Pm-3m,1,isothermal,1,peritheos/data/materials/cscl.eosmat
diamond,Diamond,C,Diamond,material name plus crystal structure,CUBIC,Fd-3m,8,isothermal;thermal,7,peritheos/data/materials/diamond.eosmat
e_feooh,E-FeOOH,FeOOH,hydrogen-off-center P21nm epsilon-FeOOH,top-level phase field,ORTHORHOMBIC,P21nm,2,isothermal;thermal,2,peritheos/data/materials/e_feooh.eosmat
e_feooh_hc_low_spin,"Epsilon-FeOOH, hydrogen-centered low-spin phase",FeOOH,hydrogen-centered Pnnm low-spin epsilon-FeOOH,top-level phase field,ORTHORHOMBIC,Pnnm,2,isothermal,1,peritheos/data/materials/e_feooh_hc_low_spin.eosmat
fayalite,Fayalite,Fe2SiO4,Fayalite,material name plus crystal structure,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/fayalite.eosmat
fe,Fe,Fe,Fe,material name plus crystal structure,CUBIC,Im-3m,2,isothermal,1,peritheos/data/materials/fe.eosmat
fe093o_rhombohedral,Fe0.93O (rhombohedrally distorted B1),Fe0.93O,"rhombohedrally distorted B1 Fe0.93O, equivalent hexagonal cell",top-level phase field,TRIGONAL,,3,isothermal,1,peritheos/data/materials/fe093o_rhombohedral.eosmat
fe2o3,Fe2O3,Fe2O3,Fe2O3,material name plus crystal structure,HEXAGONAL,R-3c,6,isothermal,1,peritheos/data/materials/fe2o3.eosmat
fe3o4,Fe3O4,Fe3O4,"magnetite, cubic inverse-spinel Fd-3m",top-level phase field,CUBIC,Fd-3m,8,isothermal,1,peritheos/data/materials/fe3o4.eosmat
fe3s,Fe3S,Fe3S,Fe3S,material name plus crystal structure,TETRAGONAL,I-4,8,isothermal,1,peritheos/data/materials/fe3s.eosmat
fe_bearing_al_phase_d,Fe-bearing Al-phase D,Al1.53Fe0.22Si0.86O6H3.33,"partially cation-ordered Fe-bearing Al-phase D, P63 22 structural model",top-level phase field,HEXAGONAL,P63 22,1,isothermal,2,peritheos/data/materials/fe_bearing_al_phase_d.eosmat
feh2,FeH2,FeH2,FeH2,material name plus crystal structure,TETRAGONAL,I4/mmm,4,isothermal,1,peritheos/data/materials/feh2.eosmat
feh3,FeH3,FeH3,FeH3,material name plus crystal structure,CUBIC,Pm-3m,1,isothermal,1,peritheos/data/materials/feh3.eosmat
feo,FeO (B1),FeO,FeO (B1),material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,2,peritheos/data/materials/feo.eosmat
feo_b8_2,FeO (B8),FeO,FeO (B8),material name plus crystal structure,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/feo_b8_2.eosmat
ferropericlase_fe27,Fe27 ferropericlase,Mg0.725Fe0.268O,"cation-deficient rocksalt ferropericlase, cubic Fm-3m",top-level phase field,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/ferropericlase_fe27.eosmat
fes,FeS-VI,FeS,FeS-VI,material name plus crystal structure,ORTHORHOMBIC,Pnma,4,isothermal,1,peritheos/data/materials/fes.eosmat
forsterite,Forsterite,Mg2SiO4,Forsterite,material name plus crystal structure,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/forsterite.eosmat
geo2_rutile,GeO2,GeO2,GeO2,material name plus crystal structure,TETRAGONAL,P42/mnm,2,isothermal,1,peritheos/data/materials/geo2_rutile.eosmat
goethite,Goethite,FeOOH,Goethite,material name plus crystal structure,ORTHORHOMBIC,Pbnm,4,thermal,1,peritheos/data/materials/goethite.eosmat
gold,Gold,Au,Gold,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal;thermal,7,peritheos/data/materials/gold.eosmat
graphite,Graphite,C,Graphite,material name plus crystal structure,HEXAGONAL,P63/mmc,4,isothermal,1,peritheos/data/materials/graphite.eosmat
ice_vi,Ice VI,H2O,Ice VI,material name plus crystal structure,TETRAGONAL,P42/nmc,10,thermal,1,peritheos/data/materials/ice_vi.eosmat
ice_vii,Ice VII,H2O,Ice VII,material name plus crystal structure,CUBIC,Pn-3m,2,thermal;isothermal,2,peritheos/data/materials/ice_vii.eosmat
iceviii,Ice VIII (D2O),D2O,Ice VIII (D2O),material name plus crystal structure,TETRAGONAL,I41/amd,8,isothermal,1,peritheos/data/materials/iceviii.eosmat
